"id","имя","ссылка","регулярная цена","промо цена"
"481700","Огурцы гладкие","https://online.metro-cc.ru/products/ogurcy-gladkie-vesovye-1-kg","169","189"
"644600","Томаты розовые Азербайджан","https://online.metro-cc.ru/products/tomaty-rozovye-azerbajdzhan","399",""
"567204","Томаты весовые","https://online.metro-cc.ru/products/tomaty-567204","286",""
"567207","Кабачки весовые","https://online.metro-cc.ru/products/kabachki-567207","229",""
"470350","Лук репчатый","https://online.metro-cc.ru/products/luk-repchatyj-470350","39",""
"470306","Картофель весовой","https://online.metro-cc.ru/products/kartofel-470306","21",""
"470353","Морковь весовая","https://online.metro-cc.ru/products/morkov-kg","45",""
"557197","Капуста белокочанная","https://online.metro-cc.ru/products/kapusta-belokachannaya-vesovaya-1-kg-557197","49",""
"470359","Перец желтый","https://online.metro-cc.ru/products/perec-zheltyj-470359","479",""
"481693","Капуста Китайская","https://online.metro-cc.ru/products/kapusta-kitajskaya-481693","179",""
"567206","Баклажаны весовые","https://online.metro-cc.ru/products/baklazhany-567206","359",""
"206406","Томаты Фламенко на ветке","https://online.metro-cc.ru/products/tomaty-na-vetke-flamenko","439",""
"321076","Картофель","https://online.metro-cc.ru/products/kartofel-setka-domik","25",""
"470374","Чеснок весовой","https://online.metro-cc.ru/products/chesnok-470374","369",""
"348461","Картофель для варки","https://online.metro-cc.ru/products/kartofel-dlya-varki-25kg","49",""
"481701","Морковь мытая","https://online.metro-cc.ru/products/morkov-mytaya-vesovaya-1-kg-481701","87",""
"481695","Картофель мытый","https://online.metro-cc.ru/products/kartofel-molodoj-vesovoj-1-kg","44",""
"596519","Капуста Брокколи","https://online.metro-cc.ru/products/kapusta-brokkoli","399",""
"137773","Томаты черри","https://online.metro-cc.ru/products/tomaty-cherri-250-g-137773","189",""
"644602","Томаты сливка оранжевые","https://online.metro-cc.ru/products/tomaty-zheltye-644602","449",""
"238152","Томаты черри","https://online.metro-cc.ru/products/tomaty-cherri-krasnye-250g-238152-238152","189",""
"470305","Капуста цветная","https://online.metro-cc.ru/products/kapusta-cvetnaya-470305","259","349"
"470387","Свекла весовая","https://online.metro-cc.ru/products/svekla-470387","45",""
"578807","Картофель красный мытый","https://online.metro-cc.ru/products/kartofel-krasnyj-mytyj-setka-25kg","59",""
"470349","Лук красный","https://online.metro-cc.ru/products/luk-krasnyj-470349","139",""
"644586","Перец Рамиро","https://online.metro-cc.ru/products/perec-ramiro-644586","549",""
"128269","Томаты Рост Фламенко сливовидные","https://online.metro-cc.ru/products/pomidory-flamenko-slivovidnye-450g","229",""
"632180","Имбирь весовой","https://online.metro-cc.ru/products/imbir-632180","589",""
"123376","METRO Chef Томаты сливка","https://online.metro-cc.ru/products/tomaty-slivka-metro-chef","429",""
"213303","Томаты ЭКО-культура черри сливка","https://online.metro-cc.ru/products/250g-tomaty-cherri-slivka-slatto","249",""
"236253","Томаты черри Мое лето Жемчужина Таити","https://online.metro-cc.ru/products/tomaty-cherri-moe-leto-zhemchuzhina-taiti-250g","219",""
"315425","Томаты ЭКО-культура черри сливка на ветке","https://online.metro-cc.ru/products/tomaty-cherri-krasnye-250g-315425","449",""
"594831","Картофель для жарки","https://online.metro-cc.ru/products/kartofel-fine-life-dlya-zharki-25kg","54",""
"352377","Картофель белый мытый","https://online.metro-cc.ru/products/kartofel-mytyj","50",""
"401482","Томаты ЭКО-культура Ароматто черри","https://online.metro-cc.ru/products/tomaty-cherri-krasnye-250g-401482","239",""
"141808","Спаржа мини","https://online.metro-cc.ru/products/art_141808","399",""
"53632","Томаты Мое лето Аморозо на ветке","https://online.metro-cc.ru/products/tomaty-amorozo-vetka-250-g-53632","189",""
"529239","Томаты черри ЭКО-культура Ред Дизайер на ветке","https://online.metro-cc.ru/products/tomaty-cherri-na-vetke-250g-529239","249",""
"644572","Тыква баттернат","https://online.metro-cc.ru/products/tykva-batternat-644572","159",""
"124617","Томаты Мое лето Черри Санрайз сливка","https://online.metro-cc.ru/products/tomaty-cherri-moe-leto-sunrise-slivovidnye-250-g-124617","239",""
"591094","Томаты черри Мое лето А-Море на ветке","https://online.metro-cc.ru/products/tomaty-cherri-moe-leto-a-more-na-vetke-250-g","239",""
"526799","Томат сливка розовый 350г","https://online.metro-cc.ru/products/tomat-slivka-rozovyj-350g","239",""
"123302","Томаты черри Мое лето Красная жемчужина на ветке","https://online.metro-cc.ru/products/250g-tomat-cherri-na-vetke-krasnaya-zhemchuzhina","259",""
"203827","Томаты черри кумато","https://online.metro-cc.ru/products/250g-tomaty-cherri-kumato","259",""
"644570","Лук Ялтинский","https://online.metro-cc.ru/products/art_644570","219",""
"600796","Кабачки Цукини","https://online.metro-cc.ru/products/cukini-600796","259",""
"132584","Огурцы среднеплодные Тсх","https://online.metro-cc.ru/products/ogurtsy-sredneplodnye-tsh","349",""
"381269","Томаты желтые сливка органза","https://online.metro-cc.ru/products/tomat-zheltyj-slivka-organza-350g-381269","189",""
"470381","Томаты сливка","https://online.metro-cc.ru/products/tomaty-slivka-470381","369",""
"263269","Набор для супа Том Ям","https://online.metro-cc.ru/products/nabor-dlya-supa-tom-yam-250g-263269-263269","499",""
"470304","Капуста краснокочанная","https://online.metro-cc.ru/products/kapusta-krasnokachannaya-470304","82",""
"481715","Чеснок ранний","https://online.metro-cc.ru/products/chesnok-molodoj-vesovoj-1-kg","479",""
"142903","Редис","https://online.metro-cc.ru/products/redis-500-g-142903","149",""
"337939","Редис","https://online.metro-cc.ru/products/redis-krasnyj-500-g","149",""
"122709","Лук шалот","https://online.metro-cc.ru/products/luk-shalot-250g-122709","129",""
"393011","Томаты Черри желтые","https://online.metro-cc.ru/products/tomaty-cherri-zheltye-250g-393011","229",""
